commit	composite	delta	status	description
a72c008	3.5	+0.0	keep	baseline: current UX_MODEL.md
3044633	3.8	+0.3	keep	asset independence + vendor upload gating in turnovers section
660a48a	3.9	+0.1	keep	eliminate folder-linked collection type, folders and collections are separate
c15b6e0	4.0	+0.1	keep	add coordinator visibility section with shared page and access tabs
87eecce	4.0	+0.0	keep	3 permission levels + modifiers with presets (simpler, same score)
e10f0e2	4.2	+0.2	keep	explicit reviewer experience: notification, click, play, comment, close
cb2c092	4.2	+0.0	keep	folder sharing hides collection from sender (simpler language, same score)
e03c84b	4.3	+0.1	keep	share notes make inbox actionable, not just notification
1772284	4.4	+0.1	keep	folders organize, collections share -- explicit differentiation with analogies
f0e1387	4.4	+0.0	keep	live/snapshot is per-share toggle not collection-type rule (simpler)
e594866	4.4	+0.0	keep	compress model summary from 8 points to 5 (simpler)
b269865	4.4	+0.0	keep	simplify permission capping: invisible in most cases (simpler prose)
f1a62a6	4.5	+0.1	keep	concrete workspace: folders to organize, search to discover, same files
6610163	4.5	+0.0	keep	filterable shared page + cross-department collection visibility
60d31a5	4.5	+0.0	keep	coordinator notification on vendor upload (closes control loop)
